Date,Close/Last,Volume,Open,High,Low
06/13/2025,$89.91,4020387,$90.695,$91.64,$89.40
06/12/2025,$91.05,4604028,$90.05,$91.34,$90.00
06/11/2025,$90.01,5804062,$91.71,$91.8716,$89.53
06/10/2025,$91.71,5204007,$90.00,$92.12,$89.61
06/09/2025,$89.8734,5586162,$91.6667,$91.7477,$88.82
06/06/2025,$91.848,5006652,$91.9187,$92.9607,$91.1584
06/05/2025,$91.4534,3990358,$90.8627,$91.6707,$90.5907
06/04/2025,$91.106,4594513,$91.4714,$91.9051,$89.834
06/03/2025,$91.4714,6961272,$90.9667,$91.8727,$90.1667
06/02/2025,$91.3787,8763986,$90.4767,$91.5674,$90.1167
05/30/2025,$91.1667,10789345,$90.344,$91.529,$90.1937
05/29/2025,$90.1374,4503133,$90.412,$90.7154,$89.5984
05/28/2025,$90.504,4372288,$90.7334,$91.5854,$90.4267
05/27/2025,$90.7587,6570687,$91.6667,$92.606,$90.4014
05/23/2025,$91.6247,4310863,$90.7247,$92.104,$90.5747
05/22/2025,$90.986,4583743,$91.966,$92.1767,$90.4327
05/21/2025,$91.366,3601633,$91.7067,$92.6147,$90.9914
05/20/2025,$92.4147,3810013,$92.3327,$93.2387,$92.3134
05/19/2025,$92.9267,4653178,$91.9334,$93.1194,$91.9187
05/16/2025,$92.1107,4837348,$91.5454,$92.1627,$91.0027
05/15/2025,$91.342,6699372,$88.59,$91.342,$88.59
05/14/2025,$88.382,6348942,$87.4667,$88.7754,$87.4667
05/13/2025,$88.0534,10436755,$89.5814,$89.6514,$87.694
05/12/2025,$89.3074,8606726,$91.5654,$91.5654,$87.2274
05/09/2025,$90.6227,4079428,$90.681,$91.0014,$89.84
05/08/2025,$90.6767,4462078,$92.00,$92.3654,$90.547
05/07/2025,$91.8727,5075652,$92.418,$93.0547,$91.637
05/06/2025,$92.4427,5680347,$92.3367,$92.8054,$91.9954
05/05/2025,$92.476,5033637,$93.384,$93.614,$92.336
05/02/2025,$93.7574,4281628,$94.8927,$95.8847,$93.5007
05/01/2025,$93.8454,5271042,$93.6667,$94.2567,$92.4732
04/30/2025,$94.3467,6280122,$93.0447,$94.5007,$92.2667
04/29/2025,$93.282,6074802,$90.8147,$93.4957,$90.8147
04/28/2025,$91.344,7393496,$90.1654,$91.5451,$90.1654
04/25/2025,$89.80,7983086,$90.0634,$90.6294,$88.5807
04/24/2025,$90.1447,16632622,$90.592,$91.0354,$88.876
04/23/2025,$92.0334,8961386,$93.4054,$93.7267,$91.4654
04/22/2025,$92.9027,5999937,$91.802,$93.1774,$91.6074
04/21/2025,$91.2334,4791988,$92.80,$93.1204,$89.8344
04/17/2025,$92.7267,6434997,$91.9014,$93.2514,$91.3787
04/16/2025,$90.9574,5955612,$93.5194,$93.9034,$90.7734
04/15/2025,$93.1954,5433642,$94.5514,$95.2474,$92.80
04/14/2025,$94.28,6709287,$93.12,$94.7564,$92.9364
04/11/2025,$92.6527,5620887,$91.5574,$92.9587,$90.4935
04/10/2025,$91.5574,10661935,$89.4074,$92.8644,$88.738
04/09/2025,$89.8967,14018348,$87.154,$93.1767,$87.118
04/08/2025,$87.68,8894321,$90.0094,$91.5117,$86.788
04/07/2025,$88.9227,13291358,$91.262,$92.322,$88.108
04/04/2025,$92.658,16709827,$96.168,$96.9054,$92.636
04/03/2025,$96.126,8052566,$93.6947,$97.2247,$93.5834
04/02/2025,$94.4674,5975052,$94.9507,$95.8954,$94.422
04/01/2025,$95.4534,5551722,$95.0334,$95.793,$94.734
03/31/2025,$95.5054,7586111,$94.4907,$96.6667,$94.4907
03/28/2025,$93.9034,6065847,$94.4834,$95.124,$93.1407
03/27/2025,$94.908,6719097,$92.86,$95.5787,$92.768
03/26/2025,$92.0654,4877758,$91.796,$92.786,$91.5067
03/25/2025,$91.6987,4407343,$90.6027,$91.841,$90.444
03/24/2025,$90.8494,4193158,$89.8654,$91.044,$89.719
03/21/2025,$89.2727,7655696,$88.8714,$89.4287,$88.5814
03/20/2025,$89.5434,4097698,$88.9494,$90.0547,$88.5804
03/19/2025,$89.3394,4456588,$89.7354,$90.314,$88.6524
03/18/2025,$89.25,3931288,$89.42,$90.0667,$88.768
03/17/2025,$89.866,6135642,$88.494,$90.3627,$88.3934
03/14/2025,$88.494,4774738,$86.876,$88.598,$85.8317
03/13/2025,$85.966,4897318,$86.7854,$87.4317,$85.552
03/12/2025,$87.286,4787773,$88.0307,$88.1964,$86.398
03/11/2025,$88.2707,6052242,$89.772,$90.4513,$87.5187
03/10/2025,$89.772,6975702,$88.0387,$90.158,$88.0387
03/07/2025,$87.934,5494032,$89.0887,$89.0887,$86.0947
03/06/2025,$88.7374,6681837,$89.0394,$90.046,$88.0004
03/05/2025,$89.3114,6258927,$89.874,$90.9474,$88.854
03/04/2025,$90.4514,7188101,$91.734,$92.6034,$90.236
03/03/2025,$91.7327,6828732,$92.1434,$92.424,$91.0654
02/28/2025,$91.576,5490807,$90.79,$91.9174,$90.116
02/27/2025,$90.2307,6120972,$89.00,$90.6124,$88.9587
02/26/2025,$88.6947,4778368,$89.70,$89.7847,$88.2287
02/25/2025,$89.772,6137367,$88.0654,$89.9327,$88.0004
02/24/2025,$87.6607,5626857,$87.4407,$87.7377,$87.0297
02/21/2025,$86.894,4126633,$87.6194,$87.6194,$86.5247
02/20/2025,$87.496,4173178,$86.344,$87.5234,$86.2054
02/19/2025,$86.3867,3495328,$86.2734,$86.8327,$86.1834
02/18/2025,$86.388,5669202,$87.472,$87.472,$85.6774
02/14/2025,$87.92,5168562,$89.3774,$89.3774,$87.8527
02/13/2025,$89.0454,3749128,$88.7787,$89.3927,$88.4344
02/12/2025,$88.2867,3082618,$87.8784,$88.6174,$87.342
02/11/2025,$88.2627,5871792,$87.4487,$88.3327,$86.6732
02/10/2025,$87.3347,3988363,$87.914,$88.4554,$87.138
02/07/2025,$87.7834,5222037,$88.4014,$90.00,$87.6467
02/06/2025,$88.716,6413532,$89.1254,$89.8647,$87.5454
02/05/2025,$89.8827,7921481,$89.4267,$90.018,$89.0287
02/04/2025,$88.946,5814912,$86.2274,$89.1087,$86.2274
02/03/2025,$87.7374,6586662,$86.50,$87.8664,$86.0734
01/31/2025,$86.2947,5562897,$87.0787,$87.35,$86.1414
01/30/2025,$87.344,4592488,$86.7914,$87.452,$86.50
01/29/2025,$85.872,4960318,$85.0447,$86.0764,$85.0447
01/28/2025,$85.2227,5321937,$85.9567,$85.995,$84.2944
01/27/2025,$85.502,6476982,$83.3094,$85.7267,$83.3094
01/24/2025,$83.60,3593083,$83.9687,$84.0794,$82.9034
01/23/2025,$84.108,4576753,$82.6194,$84.1574,$82.6194
01/22/2025,$82.7554,6746382,$82.542,$83.2874,$82.1114
01/21/2025,$82.7387,5538582,$82.0387,$83.8225,$82.0387
01/17/2025,$81.1194,4180183,$81.8647,$81.8647,$80.732
01/16/2025,$80.3147,2985674,$80.2694,$80.4397,$79.702
01/15/2025,$80.2694,4237138,$80.5314,$81.136,$80.199
01/14/2025,$80.2887,3672208,$80.676,$81.3653,$79.9134
01/13/2025,$80.676,5306817,$79.6694,$81.0017,$79.5847
01/10/2025,$79.84,4623958,$79.736,$80.53,$79.6907
01/08/2025,$80.3827,3831598,$79.9927,$80.6107,$79.7434
01/07/2025,$79.9814,7594496,$81.0887,$81.1317,$79.6947
01/06/2025,$80.698,4517038,$79.8427,$81.5374,$79.7547
01/03/2025,$80.2814,4730278,$79.082,$80.6727,$78.8894
01/02/2025,$79.1807,4223023,$78.9434,$79.663,$78.8254
12/31/2024,$79.0534,4365328,$79.048,$79.4314,$78.708
12/30/2024,$78.6614,5573682,$79.6854,$79.6854,$78.30
12/27/2024,$79.8234,3256858,$79.7314,$80.6874,$79.4874
12/26/2024,$80.452,3998863,$80.7987,$81.6104,$80.414
12/24/2024,$81.4434,2206754,$80.4354,$82.1199,$80.4354
12/23/2024,$80.484,4639453,$80.682,$80.6897,$79.7034
12/20/2024,$81.274,12918789,$80.2694,$81.9757,$80.1827
12/19/2024,$80.9594,6034512,$81.676,$82.30,$80.8654
12/18/2024,$81.676,4928728,$82.806,$83.3834,$81.6147
12/17/2024,$83.072,7406156,$84.5907,$84.9667,$82.81
12/16/2024,$84.5907,5603457,$84.534,$85.5977,$84.4654
12/13/2024,$84.7067,3046453,$84.5887,$85.4634,$84.2764
12/12/2024,$84.648,3464908,$84.6867,$84.925,$83.6134
12/11/2024,$84.6007,4115848,$84.4234,$85.0534,$84.1284
12/10/2024,$84.4234,4808008,$83.7234,$84.9064,$83.4577
12/09/2024,$83.66,4688608,$83.9107,$84.368,$82.682
12/06/2024,$83.852,4757458,$82.8734,$84.0027,$82.7347
12/05/2024,$82.3207,4122973,$82.6327,$83.0487,$81.7854
12/04/2024,$82.8614,3856648,$82.7607,$83.5374,$82.6327
12/03/2024,$83.1994,3953758,$83.3667,$83.50,$82.5087
12/02/2024,$83.1214,6365727,$82.8814,$83.6934,$82.6907
11/29/2024,$82.8814,2241389,$82.6447,$83.44,$82.6447
11/27/2024,$82.934,3223333,$83.0667,$83.324,$82.394
11/26/2024,$82.948,5626137,$82.0907,$83.036,$81.536
11/25/2024,$82.584,7828691,$82.6614,$83.5347,$82.28
11/22/2024,$81.8247,5078652,$81.1194,$81.9207,$80.932
11/21/2024,$80.316,5162682,$80.4287,$80.4287,$79.008
11/20/2024,$79.258,6089202,$80.0394,$80.166,$78.7633
11/19/2024,$80.0394,4987558,$80.854,$80.8814,$79.8387
11/18/2024,$81.1114,5956167,$80.4907,$81.4774,$80.4907
11/15/2024,$80.8914,6564747,$81.78,$81.9194,$80.7067
11/14/2024,$81.6267,6216762,$82.6834,$83.6867,$81.384
11/13/2024,$82.5854,4311658,$82.2334,$83.5024,$82.2334
11/12/2024,$82.4567,4475713,$82.328,$82.9667,$81.8834
11/11/2024,$81.9014,5493237,$81.904,$82.7527,$81.6047
11/08/2024,$81.18,4699648,$81.8694,$82.253,$81.1177
11/07/2024,$80.9674,6220227,$82.1287,$82.1287,$80.878
11/06/2024,$82.2767,8452016,$79.6494,$82.6436,$79.4204
11/05/2024,$77.4887,3905788,$77.1707,$77.7547,$76.9147
11/04/2024,$77.1707,5371377,$76.7794,$77.6774,$76.7514
11/01/2024,$76.4394,7452086,$76.4294,$77.532,$76.2194
10/31/2024,$76.876,7102856,$77.40,$77.92,$76.7367
10/30/2024,$77.4807,4934923,$78.0914,$79.0135,$77.198
10/29/2024,$78.3934,7059311,$79.7034,$79.7089,$78.3687
10/28/2024,$79.8074,5340747,$79.9914,$80.4354,$79.482
10/25/2024,$79.6814,3574183,$80.5507,$81.05,$79.5794
10/24/2024,$79.9847,6459417,$78.7934,$81.2334,$78.36
10/23/2024,$79.95,7421531,$79.6934,$80.54,$79.6934
10/22/2024,$80.3587,4399438,$79.9567,$80.7967,$79.60
